Código Expediente;Distrito;Barrio;Día de la Semana;Año;Mes;Nombre Mes;Día del Mes;Hora del Día;Turno;Tipo de Accidente
2018S000001;Sants-Montjuïc;el Poble-sec;Lunes;2018;1;Enero;1;3;Noche;Abast multiple
2018S000002;Eixample;la Nova Esquerra de l'Eixample;Lunes;2018;1;Enero;1;0;Noche;Col.lisió fronto-lateral
2018S000003;Sant Martí;el Camp de l'Arpa del Clot;Lunes;2018;1;Enero;1;2;Noche;Abast
2018S000004;Nou Barris;Vilapicina i la Torre Llobeta;Lunes;2018;1;Enero;1;9;Mañana;Xoc contra element estàtic
2018S000005;Nou Barris;Vallbona;Lunes;2018;1;Enero;1;9;Mañana;Bolcada (més de dues rodes)
2018S000006;Les Corts;les Corts;Lunes;2018;1;Enero;1;17;Tarde;Abast
2018S000007;Sant Martí;la Verneda i la Pau;Lunes;2018;1;Enero;1;18;Tarde;Abast
2018S000008;Sants-Montjuïc;Sants - Badal;Lunes;2018;1;Enero;1;18;Tarde;Col.lisió fronto-lateral
2018S000009;Eixample;Sant Antoni;Lunes;2018;1;Enero;1;18;Tarde;Col.lisió lateral
2018S000010;Nou Barris;Porta;Lunes;2018;1;Enero;1;19;Tarde;Col.lisió fronto-lateral
2018S000011;Eixample;la Dreta de l'Eixample;Lunes;2018;1;Enero;1;19;Tarde;Atropellament
2018S000012;Ciutat Vella;el Barri Gòtic;Lunes;2018;1;Enero;1;19;Tarde;Atropellament
2018S000013;Eixample;la Dreta de l'Eixample;Lunes;2018;1;Enero;1;22;Noche;Col.lisió lateral
2018S000014;Sant Martí;la Vila Olímpica del Poblenou;Lunes;2018;1;Enero;1;20;Tarde;Col.lisió fronto-lateral
2018S000015;Sant Martí;la Vila Olímpica del Poblenou;Lunes;2018;1;Enero;1;22;Noche;Col.lisió fronto-lateral
2018S000016;Eixample;Sant Antoni;Martes;2018;1;Enero;2;0;Noche;Col.lisió lateral
2018S000017;Eixample;la Sagrada Família;Martes;2018;1;Enero;2;7;Mañana;Col.lisió lateral
2018S000018;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;Martes;2018;1;Enero;2;5;Noche;Col.lisió fronto-lateral
2018S000019;Eixample;l'Antiga Esquerra de l'Eixample;Martes;2018;1;Enero;2;9;Mañana;Col.lisió lateral
2018S000020;Eixample;la Dreta de l'Eixample;Martes;2018;1;Enero;2;9;Mañana;Altres
2018S000021;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;Martes;2018;1;Enero;2;9;Mañana;Abast
2018S000022;Eixample;la Sagrada Família;Martes;2018;1;Enero;2;9;Mañana;Col.lisió fronto-lateral
2018S000023;Gràcia;la Salut;Martes;2018;1;Enero;2;9;Mañana;Xoc contra element estàtic
2018S000023;Gràcia;la Salut;Martes;2018;1;Enero;2;9;Mañana;Caiguda (dues rodes)
2018S000024;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;Martes;2018;1;Enero;2;9;Mañana;Col.lisió lateral
2018S000025;Horta-Guinardó;la Font d'en Fargues;Martes;2018;1;Enero;2;11;Mañana;Atropellament
2018S000026;Les Corts;la Maternitat i Sant Ramon;Martes;2018;1;Enero;2;14;Tarde;Col.lisió lateral
2018S000027;Sants-Montjuïc;Hostafrancs;Martes;2018;1;Enero;2;15;Tarde;Atropellament
2018S000028;Sant Andreu;el Bon Pastor;Martes;2018;1;Enero;2;14;Tarde;Col.lisió fronto-lateral
2018S000029;Sant Andreu;el Congrés i els Indians;Martes;2018;1;Enero;2;17;Tarde;Col.lisió lateral
2018S000030;Nou Barris;Vilapicina i la Torre Llobeta;Martes;2018;1;Enero;2;16;Tarde;Atropellament
2018S000031;Les Corts;la Maternitat i Sant Ramon;Martes;2018;1;Enero;2;13;Mañana;Caiguda interior vehicle
2018S000032;Horta-Guinardó;el Baix Guinardó;Martes;2018;1;Enero;2;17;Tarde;Atropellament
2018S000033;Gràcia;la Vila de Gràcia;Martes;2018;1;Enero;2;18;Tarde;Col.lisió fronto-lateral
2018S000034;Ciutat Vella;el Raval;Martes;2018;1;Enero;2;17;Tarde;Abast multiple
2018S000035;Eixample;l'Antiga Esquerra de l'Eixample;Martes;2018;1;Enero;2;19;Tarde;Col.lisió fronto-lateral
2018S000036;Nou Barris;Porta;Martes;2018;1;Enero;2;18;Tarde;Abast
2018S000037;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;Martes;2018;1;Enero;2;16;Tarde;Col.lisió lateral
2018S000038;Eixample;l'Antiga Esquerra de l'Eixample;Martes;2018;1;Enero;2;20;Tarde;Col.lisió lateral
2018S000039;Eixample;la Dreta de l'Eixample;Martes;2018;1;Enero;2;20;Tarde;Col.lisió lateral
2018S000040;Les Corts;la Maternitat i Sant Ramon;Martes;2018;1;Enero;2;20;Tarde;Abast
2018S000041;Sant Martí;la Verneda i la Pau;Martes;2018;1;Enero;2;19;Tarde;Altres
2018S000041;Sant Martí;la Verneda i la Pau;Martes;2018;1;Enero;2;19;Tarde;Caiguda (dues rodes)
2018S000042;Sant Andreu;Sant Andreu;Martes;2018;1;Enero;2;19;Tarde;Atropellament
2018S000043;Ciutat Vella;la Barceloneta;Lunes;2018;1;Enero;1;22;Noche;Xoc contra element estàtic
2018S000044;Les Corts;les Corts;Miércoles;2018;1;Enero;3;8;Mañana;Atropellament
2018S000045;Gràcia;Vallcarca i els Penitents;Miércoles;2018;1;Enero;3;9;Mañana;Abast
2018S000046;Sant Martí;el Camp de l'Arpa del Clot;Miércoles;2018;1;Enero;3;9;Mañana;Abast
2018S000047;Sarrià-Sant Gervasi;el Putxet i el Farró;Miércoles;2018;1;Enero;3;11;Mañana;Col.lisió lateral
2018S000048;Eixample;la Dreta de l'Eixample;Miércoles;2018;1;Enero;3;11;Mañana;Abast
2018S000049;Eixample;la Nova Esquerra de l'Eixample;Miércoles;2018;1;Enero;3;12;Mañana;Caiguda (dues rodes)
2018S000050;Les Corts;Pedralbes;Miércoles;2018;1;Enero;3;9;Mañana;Abast
2018S000051;Ciutat Vella;el Raval;Miércoles;2018;1;Enero;3;12;Mañana;Caiguda (dues rodes)
2018S000051;Ciutat Vella;el Raval;Miércoles;2018;1;Enero;3;12;Mañana;Abast
2018S000052;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Miércoles;2018;1;Enero;3;13;Mañana;Col.lisió fronto-lateral
2018S000053;Eixample;Sant Antoni;Miércoles;2018;1;Enero;3;15;Tarde;Abast
2018S000054;Sants-Montjuïc;la Marina del Prat Vermell;Miércoles;2018;1;Enero;3;17;Tarde;Col.lisió lateral
2018S000055;Eixample;la Dreta de l'Eixample;Miércoles;2018;1;Enero;3;17;Tarde;Caiguda (dues rodes)
2018S000055;Eixample;la Dreta de l'Eixample;Miércoles;2018;1;Enero;3;17;Tarde;Col.lisió lateral
2018S000056;Les Corts;la Maternitat i Sant Ramon;Miércoles;2018;1;Enero;3;17;Tarde;Abast
2018S000057;Nou Barris;la Prosperitat;Miércoles;2018;1;Enero;3;19;Tarde;Abast multiple
2018S000058;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova;Miércoles;2018;1;Enero;3;18;Tarde;Abast
